marker_ID,acinar,alpha,beta,delta,ductal,endothelial,gamma,IC,Stellate
1292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.556831052399082
1277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.844226442164662
387763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.529794482586497
633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.372467865808564
1291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.383638210702164
1281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.101496528006131
5159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.510375466289741
1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.371323915124938
114757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.847816145208226
1293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.924745127808419
4854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.515080366829761
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.471859851039924
2335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.813422970387621
1306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1042610671900475
83716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8267997829829277
3624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.459921181302025
23704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.841924588146786
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7604391609915173
687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.639803373362601
1289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.339942935844805
85027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6321083507821923
4240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4629837566262123
7078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8500338246488797
10417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.007025284246249
60681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7575481723430606
3976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.479047914607537
3488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5048532105828825
11117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.387265111598963
50509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.288720749895869
11167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.671757772309597
6926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.332995641810805
9244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9470323282908595
4313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.072949421655014
1290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.119481267066211
2331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.510105614632326
813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8562541448933936
716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0774741442455356
10491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6595131868995843
857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.800440213231334
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.411752172113915
4035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.020573013551781
861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.895071067678867
5327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5005682276218066
7169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6547986749536507
4017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.444926406885007
10319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.418306535080794
7474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9939514443802573
94031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1996886963797855
1909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0927851438127556
8877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89444997264572
3090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4261740243005883
10398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.520780136144915
5937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.740236417538678
196740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.027208970056675
55824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9488784108541015
1075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41261313563941
5396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1278523450152638
22856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2695253644962663
4921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.329843989518117
3554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.801751179534819
7035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.635601936099605
54407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8259740821654535
83871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3740703247197454
7026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.295852993323254
7041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.274298360495579
3098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5066583371489033
8543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5005682276218066
7145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.590084423183385
64943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3740703247197454
51429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.020573013551781
3720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8508680708088845
3693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5199952501339733
389792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5641795935310285
11237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1040030778283936
5351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34887654810503
23433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8157575418225207
8871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.538114099309631
80381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.538114099309631
253461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5231258901289686
3164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3841352430854017
3992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.265784747248658
6464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.606268015871919
2908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8260907336235475
7414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.409763775073856
665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.451419502198183
5728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1697776200227716
1346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1915136137990987
54741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41261313563941
64778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5414268095755783
10423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.421224829146882
5713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.411752172113915
5709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1323258629971527
